user_id,user_paid,user_registered,onboarded,subscription_type,completed_date,onboarding_country,onboarding_heard_from_label,onboarding_goals_label,onboarding_learn_label
462370,1,1/1/2023,onboarded,monthly,1/1/2023,India,instagram,Other,Specialized advanced topics
462426,1,1/1/2023,onboarded,annual,1/1/2023,United States of America,youtube,I want to become a data scientist.,Data analysis and data visualization
462441,1,1/1/2023,onboarded,annual,1/1/2023,United States of America,youtube,I want to earn a higher salary.,Business analysis
462449,1,1/1/2023,onboarded,annual,1/1/2023,Spain,other,I want to transition into data science from an unrelated field.,"Programming skills (Python, R, SQL)"
462467,1,1/1/2023,onboarded,annual,5/25/2023,Egypt,facebook,I want to join an industry-leading company.,Machine and deep learning
462473,1,1/1/2023,onboarded,annual,1/1/2023,Poland,youtube,NULL,Introduction to the world of data and data science
462474,1,1/1/2023,onboarded,monthly,1/1/2023,South Africa,youtube,I want to become a data scientist.,Data analysis and data visualization
462484,1,1/2/2023,onboarded,monthly,1/2/2023,United States of America,youtube,I want to transition into data science from an unrelated field.,"Programming skills (Python, R, SQL)"
462488,1,1/2/2023,onboarded,monthly,1/2/2023,United Kingdom,facebook,I want to join an industry-leading company.,Machine and deep learning
462489,1,1/2/2023,onboarded,annual,1/2/2023,United States of America,multiple_sources,NULL,Introduction to the world of data and data science
462514,1,1/2/2023,onboarded,annual,1/2/2023,South Africa,google,I want to earn a higher salary.,Business analysis
462541,1,1/2/2023,onboarded,annual,1/2/2023,United States of America,youtube,I want to join an industry-leading company.,Machine and deep learning
462585,1,1/2/2023,onboarded,monthly,1/2/2023,India,youtube,I want to join an industry-leading company.,Machine and deep learning
462624,1,1/2/2023,not-onboarded,annual,NULL,NULL,multiple_sources,NULL,NULL
462643,1,1/2/2023,onboarded,annual,1/2/2023,Egypt,friend,I want to improve my data skills.,Introduction to the world of data and data science
462667,1,1/2/2023,onboarded,annual,1/2/2023,Estonia,youtube,I want to become a data scientist.,Data analysis and data visualization
462670,1,1/2/2023,not-onboarded,quarterly,NULL,NULL,multiple_sources,NULL,NULL
462672,1,1/2/2023,not-onboarded,annual,NULL,NULL,multiple_sources,NULL,NULL
